CTUID,pop,pop_density,avg_size,2_bed,3_bed,detached_home,apartment,owners,renters,degree_diploma
5370000,747545,544.9,2.5,61600,118355,165060,45395,206485,86860,332950
5370001.01,2193,397.6,2.9,105,340,475,0,570,185,845
5370001.02,5302,4102.4,3,105,1185,970,0,1325,430,2135
5370001.04,6305,3702.5,3.3,100,1040,1320,0,1595,305,2795
5370001.05,5344,3443.7,3.2,235,670,1085,55,1295,315,2125
5370001.06,5191,3511,3.1,40,910,1230,0,1410,195,2310
5370001.07,3725,4922.7,2.9,95,905,425,0,845,430,1280
5370001.08,6556,4001.5,3.2,150,1200,1540,65,1710,340,2610
5370001.09,4566,2318,3.3,95,810,880,0,1185,205,1795
5370002.01,5122,3450.3,3.2,95,755,1180,0,1470,155,2255
5370002.03,3069,3979,2.8,45,660,550,0,895,155,1225
5370002.04,4629,4706.2,3,100,860,1005,65,1240,330,2035
5370002.05,7625,3882.4,3.2,135,1095,1710,0,2080,250,3380
5370002.06,3544,1329.4,2.4,385,415,655,0,1070,315,1590
5370003.01,5224,4292.9,2.5,440,820,810,630,1135,830,2190
5370003.02,3494,4013.8,2.5,155,780,360,255,855,460,1575
5370003.03,3264,4446.9,3,90,665,650,5,775,305,1255
5370003.04,5832,3346.1,2.6,585,1055,1105,380,1335,930,2365
5370004.01,3243,3308.8,2.4,325,635,700,300,770,640,1240
5370004.02,4189,4189,2.5,400,635,645,490,905,725,1470
5370005.01,6111,3302.9,2.5,320,1020,1395,485,1415,920,2075
5370005.02,3893,4107.4,2.7,185,765,775,200,920,495,1295
5370005.03,4003,4255.8,2.6,220,795,905,260,1085,455,1505
5370006,4699,2132.5,2.3,405,915,1370,220,1310,735,1915
5370007,3382,3943.1,2.1,340,625,1055,340,995,605,1390
5370008,2533,3156.4,2.1,220,440,705,220,680,410,915
5370009,3601,4170.7,2.6,195,720,890,170,890,535,1200
5370010,3132,3459.6,2.3,370,515,980,205,920,430,1140
5370011,2262,2647.8,2.4,190,485,850,0,785,145,995
5370012,1524,3565.7,2.4,175,145,385,45,240,345,545
5370013,2818,1822.2,2.6,100,575,1015,0,930,125,1315
5370014,2707,2293.9,2.6,130,540,1020,0,940,80,1360
5370015,1782,2879.8,2.2,65,355,580,0,555,195,730
5370016,506,1104.1,2.8,35,85,120,0,180,0,270
5370017,3459,1310.7,2.6,235,445,930,30,1155,225,2135
5370018,120,319.7,,,,,,,,
5370019,3932,3283,2.3,450,605,1140,295,1125,595,1870
5370020,3959,3638.8,2.3,575,700,1465,85,1430,290,1745
5370021,4441,4223.5,2.2,655,730,1415,260,1390,595,1680
