"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12"
"5370000.00","Hamilton","0000.00",2.50,612635.00,734885.00,734885.00,293345.00,293345.00,293345.00,612635.00,395885.00,6.60
"5370001.01","Hamilton","0001.01",2.90,1790.00,2190.00,2190.00,760.00,760.00,760.00,1735.00,1170.00,4.20
"5370001.02","Hamilton","0001.02",3.00,4265.00,5225.00,5225.00,1760.00,1760.00,1755.00,4235.00,2840.00,6.90
"5370001.04","Hamilton","0001.04",3.30,4990.00,6175.00,6180.00,1900.00,1895.00,1895.00,4990.00,3385.00,5.40
"5370001.05","Hamilton","0001.05",3.20,4020.00,5155.00,5160.00,1605.00,1605.00,1605.00,4020.00,2655.00,8.70
"5370001.06","Hamilton","0001.06",3.10,4270.00,5050.00,5050.00,1610.00,1605.00,1605.00,4265.00,2800.00,7.00
"5370001.07","Hamilton","0001.07",2.90,3000.00,3560.00,3565.00,1275.00,1275.00,1270.00,2910.00,1915.00,5.50
"5370001.08","Hamilton","0001.08",3.20,5335.00,6530.00,6530.00,2050.00,2050.00,2055.00,5335.00,3520.00,6.50
"5370001.09","Hamilton","0001.09",3.30,3530.00,4635.00,4635.00,1390.00,1390.00,1390.00,3565.00,2405.00,6.30
"5370002.01","Hamilton","0002.01",3.20,4125.00,5085.00,5080.00,1625.00,1630.00,1630.00,4125.00,2700.00,5.40
"5370002.03","Hamilton","0002.03",2.80,2540.00,2925.00,2925.00,1050.00,1050.00,1050.00,2485.00,1540.00,11.00
"5370002.04","Hamilton","0002.04",3.00,3865.00,4775.00,4775.00,1570.00,1570.00,1575.00,3920.00,2490.00,8.80
"5370002.05","Hamilton","0002.05",3.20,6010.00,7435.00,7435.00,2330.00,2330.00,2325.00,5990.00,3865.00,6.10
"5370002.06","Hamilton","0002.06",2.40,2920.00,3455.00,3455.00,1385.00,1390.00,1385.00,2940.00,1550.00,7.90
"5370003.01","Hamilton","0003.01",2.50,4050.00,4845.00,4845.00,1965.00,1970.00,1965.00,4090.00,2350.00,6.60
"5370003.02","Hamilton","0003.02",2.50,2775.00,3205.00,3205.00,1315.00,1310.00,1310.00,2760.00,1650.00,9.20
"5370003.03","Hamilton","0003.03",3.00,2555.00,3200.00,3200.00,1075.00,1080.00,1080.00,2510.00,1570.00,12.40
"5370003.04","Hamilton","0003.04",2.60,4775.00,5865.00,5865.00,2270.00,2270.00,2270.00,4820.00,2870.00,9.40
"5370004.01","Hamilton","0004.01",2.40,2760.00,3345.00,3350.00,1410.00,1415.00,1415.00,2845.00,1675.00,13.10
"5370004.02","Hamilton","0004.02",2.50,3465.00,4080.00,4080.00,1630.00,1630.00,1630.00,3385.00,2095.00,7.20
"5370005.01","Hamilton","0005.01",2.50,5065.00,5930.00,5935.00,2340.00,2340.00,2340.00,5070.00,3005.00,6.90
"5370005.02","Hamilton","0005.02",2.70,3170.00,3830.00,3830.00,1410.00,1410.00,1410.00,3090.00,1915.00,8.40
"5370005.03","Hamilton","0005.03",2.60,3390.00,3820.00,3820.00,1540.00,1540.00,1540.00,3365.00,1885.00,7.90
"5370006.00","Hamilton","0006.00",2.30,4030.00,4900.00,4900.00,2045.00,2045.00,2050.00,4135.00,2645.00,7.10
"5370007.00","Hamilton","0007.00",2.10,2950.00,3550.00,3550.00,1595.00,1595.00,1595.00,3055.00,1875.00,7.60
"5370008.00","Hamilton","0008.00",2.10,2000.00,2095.00,2095.00,1090.00,1090.00,1090.00,1895.00,1070.00,6.40
"5370009.00","Hamilton","0009.00",2.60,2960.00,3720.00,3720.00,1425.00,1425.00,1425.00,3045.00,1895.00,9.00
"5370010.00","Hamilton","0010.00",2.30,2720.00,3010.00,3005.00,1345.00,1350.00,1345.00,2635.00,1715.00,4.70
"5370011.00","Hamilton","0011.00",2.40,1970.00,2185.00,2190.00,925.00,930.00,925.00,1940.00,1185.00,7.30
"5370012.00","Hamilton","0012.00",2.40,1350.00,1505.00,1500.00,585.00,585.00,585.00,1335.00,755.00,14.50
"5370013.00","Hamilton","0013.00",2.60,2415.00,2800.00,2800.00,1060.00,1060.00,1055.00,2415.00,1435.00,5.60
"5370014.00","Hamilton","0014.00",2.60,2265.00,2645.00,2640.00,1025.00,1020.00,1025.00,2235.00,1320.00,4.70
"5370015.00","Hamilton","0015.00",2.20,1410.00,1665.00,1660.00,750.00,755.00,755.00,1400.00,780.00,3.60
"5370016.00","Hamilton","0016.00",2.80,395.00,500.00,500.00,180.00,180.00,180.00,375.00,250.00,4.30
"5370017.00","Hamilton","0017.00",2.60,2815.00,3475.00,3475.00,1380.00,1380.00,1380.00,2850.00,1860.00,4.20
"5370018.00","Hamilton","0018.00",,,,,,,,,,
"5370019.00","Hamilton","0019.00",2.30,3325.00,4015.00,4015.00,1725.00,1725.00,1730.00,3370.00,2240.00,6.70
"5370020.00","Hamilton","0020.00",2.30,3405.00,3840.00,3845.00,1720.00,1715.00,1715.00,3340.00,2300.00,5.80
"5370021.00","Hamilton","0021.00",2.20,3780.00,4530.00,4530.00,1985.00,1985.00,1990.00,3840.00,2680.00,8.20
"5370022.00","Hamilton","0022.00",2.00,4140.00,4715.00,4710.00,2370.00,2370.00,2375.00,4145.00,2795.00,6.50
"5370023.00","Hamilton","0023.00",2.40,1930.00,2235.00,2235.00,940.00,935.00,935.00,1930.00,1260.00,5.60
"5370024.00","Hamilton","0024.00",2.30,2185.00,2480.00,2480.00,1115.00,1115.00,1110.00,2170.00,1325.00,8.40
"5370025.00","Hamilton","0025.00",2.50,2380.00,2875.00,2875.00,1120.00,1120.00,1120.00,2430.00,1635.00,6.70
"5370026.01","Hamilton","0026.01",2.00,2945.00,3360.00,3360.00,1640.00,1640.00,1640.00,2900.00,1785.00,7.30
"5370026.02","Hamilton","0026.02",1.90,1535.00,1725.00,1725.00,910.00,910.00,910.00,1535.00,740.00,5.10
"5370026.03","Hamilton","0026.03",2.90,1835.00,2035.00,2040.00,720.00,715.00,720.00,1815.00,1055.00,6.00
"5370026.04","Hamilton","0026.04",2.50,1335.00,1675.00,1670.00,635.00,630.00,630.00,1475.00,835.00,10.30
"5370026.05","Hamilton","0026.05",2.40,3395.00,4040.00,4040.00,1705.00,1705.00,1705.00,3345.00,1910.00,9.60
"5370026.06","Hamilton","0026.06",2.60,4410.00,5430.00,5430.00,2060.00,2060.00,2060.00,4410.00,2970.00,9.60
"5370027.00","Hamilton","0027.00",2.20,950.00,1060.00,1065.00,485.00,485.00,490.00,945.00,610.00,4.80
"5370028.00","Hamilton","0028.00",2.20,2425.00,2645.00,2645.00,1220.00,1220.00,1220.00,2365.00,1565.00,7.60
"5370029.00","Hamilton","0029.00",2.10,3710.00,4345.00,4350.00,2025.00,2025.00,2025.00,3775.00,2615.00,9.50
"5370030.00","Hamilton","0030.00",2.50,3415.00,3980.00,3975.00,1635.00,1630.00,1630.00,3365.00,2370.00,8.40
"5370031.00","Hamilton","0031.00",2.40,1705.00,2110.00,2105.00,840.00,840.00,840.00,1780.00,1200.00,10.80
"5370032.00","Hamilton","0032.00",2.10,2545.00,3085.00,3085.00,1465.00,1470.00,1470.00,2550.00,1845.00,12.70
"5370033.00","Hamilton","0033.00",2.20,2455.00,2845.00,2845.00,1300.00,1305.00,1300.00,2450.00,1720.00,8.40
"5370034.00","Hamilton","0034.00",1.70,4625.00,5085.00,5085.00,2970.00,2970.00,2965.00,4500.00,3175.00,9.90
"5370035.00","Hamilton","0035.00",1.80,2945.00,3360.00,3360.00,1820.00,1820.00,1825.00,2980.00,2200.00,10.60
"5370036.00","Hamilton","0036.00",1.70,2120.00,2550.00,2550.00,1430.00,1430.00,1430.00,2260.00,1630.00,11.80
"5370037.00","Hamilton","0037.00",1.30,2430.00,2535.00,2535.00,1940.00,1940.00,1940.00,2415.00,1625.00,12.40
"5370038.00","Hamilton","0038.00",1.50,3585.00,3935.00,3935.00,2665.00,2665.00,2665.00,3710.00,2295.00,8.30
